state (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
1	0.9611026431495988	0.02869681531175085	3.5580800694051326E-4	1.4760511489425408E-4	2.2965323477841678E-4	0.0	3.2369714246971525E-5	1.0004416334821254E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0266407573387676E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.29365645932608E-5	0.0	0.0	4.0103053439116405E-5	0.0	2.374755662529357E-4	1.0394842013641967E-4	5.219921503975339E-4	1.869222545146291E-5	0.0	2.3997001089230523E-5	0.0	3.2482833260393234E-4	8.392196460416209E-5	4.361772095192185E-4	5.875374229343155E-4	1.1604494153904905E-4	9.74908269391745E-5	2.8893092547626134E-5	0.0	1.1923114231641757E-4	8.888470689141336E-5	3.5443771078790695E-5	0.0	4.1367980282840896E-5	1.4442264753339285E-4	1.26607121802337E-4	0.004362512927608671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.451845793942847E-4	4.398313781483671E-4	4.694323916755803E-4	1.1641799245018836E-4	4.4702159417993576E-5	0.0	1.0431965806048547E-4
2	0.010678572110473931	0.9507023210355595	0.003097743763055825	0.0010942534698144357	0.0012613463671212217	7.526779329628642E-5	8.7956682106406E-4	3.902912727018066E-4	4.6384885607561325E-6	2.339875568463411E-5	0.0	0.0	1.5205049042394428E-4	2.2340631277401636E-5	3.1229915447967963E-4	0.00155849850643484	4.047653718459437E-5	0.0	2.5332684065207857E-5	4.0407604633504086E-5	1.4066416255916651E-5	7.968424361596036E-6	0.0	3.2627653493112574E-5	7.365060316851984E-5	0.0	0.0	7.81821820256414E-6	2.7416055497968776E-5	5.33922235826273E-4	1.0834546851017477E-4	3.444935098196624E-5	1.4403991482770464E-5	3.747437768431856E-5	1.2424556469013533E-5	1.3992759887149971E-5	1.2509723807789158E-5	0.0	5.736311057041453E-4	7.924116877176263E-7	1.339895001417555E-4	5.6212923307969404E-5	0.0	1.4340637461435436E-5	0.0	6.732009666075716E-5	1.7074260642068593E-5	2.27698629729652E-5	0.0	4.482228369735514E-4	1.416710364506261E-4	1.8233424235348437E-4	5.924396381885832E-4	5.753798824790447E-4	0.0014681921044989458	5.87407330691364E-4	0.001325489217984641	1.1953229732239929E-4	2.7148329357164136E-5	3.5303297330662375E-4	9.335686325088698E-4	9.58846818107943E-4	6.505265567864255E-4	0.0020584893478711734	0.0014786087861809922	1.4387955281783285E-4	5.1778949499631566E-5	1.1746079925164554E-4	4.018432344055119E-4	6.394920684393996E-4	6.056211893702507E-4	2.497619403216924E-4	2.3861823454643976E-4	3.536396579245943E-4	0.0024230256091765743	6.279925397377819E-4	0.008082074141550603	8.023946042108827E-5	1.5539646058592135E-4	0.0	1.7704660763653925E-5	4.028528330690554E-5	0.0	2.3239027239485165E-5	5.1242875060914403E-5	6.118226603995558E-5	8.546537315414937E-5	0.0	1.438524790186517E-5	1.093823981273258E-5	8.263977708767954E-5	2.4405927187665523E-5	1.1109026437984023E-4	1.344847676460326E-4	1.6163277250544347E-4	6.051447372302148E-5	1.672873928574372E-4	1.601116530385901E-4	1.2177583102575994E-4	4.23894178118119E-4
3	4.7337559256427997E-5	0.0013613620816699768	0.8850411707818816	0.0028536893061626364	0.0016132887445213847	5.59964373900258E-5	0.0016328907396913296	9.400306933688955E-4	5.982174709915033E-4	7.032287697605185E-5	7.313362882128041E-5	5.145624829942813E-5	5.7705566563883256E-5	2.6714226837864236E-5	2.2200315374801053E-5	4.419330539859959E-5	3.6946988463823015E-5	5.382463018907807E-5	3.5519074078274415E-5	9.955192468772111E-5	1.1744288774992406E-4	3.3256607860477605E-5	2.561187230668556E-5	1.4505876922011476E-4	7.021364677007104E-4	2.216739444851375E-5	4.675832768808506E-5	1.041586080214637E-4	6.853797832921329E-4	0.0013154729203011736	0.0019281853028539156	3.9140237237117085E-4	5.316736644009561E-5	7.036020476211157E-5	1.4255976403016184E-5	3.0633817443280555E-5	2.5237563028472897E-5	4.7665279639217766E-5	1.2262229343585398E-5	1.1046601576418473E-5	1.5723538486436836E-4	1.6890111281222313E-4	1.4331654608010293E-5	3.379771713767034E-6	3.232989140243135E-5	9.772699515131975E-6	1.4533848369008805E-5	6.996042214201452E-5	1.1725599818743017E-4	0.0014637883035512737	0.0013983971573354925	0.0027298660550469857	0.0014451392923437677	8.918763306407838E-4	9.488235294450936E-4	0.0018506419712297274	0.008305354424546033	0.006748876302081639	0.0011512747724018405	9.960555080870408E-4	2.22838184412138E-4	2.0252265564298582E-4	7.544543772034626E-4	0.0011597914004018762	1.6012818765076336E-4	7.164458264962526E-5	6.934954878698587E-5	7.40668958355297E-5	6.125560727113044E-5	2.2993493899332722E-5	7.651613555857985E-4	4.100820429314394E-5	4.638348929796484E-4	1.230286463430038E-4	0.06358548030676511	3.871256115165385E-4	4.194774324996085E-4	5.753068632616794E-4	1.1188166147485103E-4	1.0627037805947368E-4	4.032471479348365E-5	3.4884631932969406E-5	1.3546658934662553E-5	2.063496157480219E-5	1.1885085949015287E-4	4.631541198131803E-6	0.0	4.768097019881474E-5	1.5029542657967937E-5	4.024326985153775E-5	2.3910121284180148E-4	2.1814561425559032E-5	7.363686795270123E-6	1.3288352341353627E-5	1.8336451680252274E-5	0.0	1.1661877452420047E-4	2.8174883389449754E-5	2.7532836580575224E-5	7.993144198570132E-4
4	4.888163314989148E-5	8.995674532057522E-4	0.0040617767121487085	0.8625462540364902	0.0034072722759011507	4.5757082865939487E-4	0.004240999462744377	0.003292697583485766	5.343057280847602E-4	8.421672585260906E-4	0.0017112176518533115	0.0010316315703515658	7.78513491669688E-4	2.1140916161159593E-4	2.1593259704332E-4	6.495477626522035E-4	0.0013326598411661568	9.626020435215833E-4	6.521499756815092E-4	0.0010737163469038756	8.973064514043367E-4	8.021187040051359E-4	4.6351325093229814E-4	0.0012686574947740302	0.0013223479227544093	3.92001238927428E-4	2.543269352058684E-4	6.746993529552965E-4	0.0012537661366343771	0.0012939613274598944	0.0013202958907571648	0.001426915316221924	7.753058155285816E-4	0.0010552496133836998	2.158859563723151E-4	5.260185127078711E-4	4.0650594006970365E-4	6.621289307774933E-4	2.0719596528772155E-4	3.4504179606342496E-4	0.0014600403097950916	7.930063683334519E-4	2.3847816710741542E-4	3.1038307955305193E-4	4.8182683945939835E-4	2.6844230761601147E-4	2.3053226745069555E-4	5.105376562831788E-4	4.284956044774246E-4	8.23198828471849E-4	8.137439641694713E-4	0.001698889829652913	0.0015980585611828088	1.6097939482315836E-4	0.0016824439244440194	3.645117690710125E-4	0.004467873965003794	0.004779096593790984	6.748374938838928E-4	2.6885726017102026E-4	3.5960031050854115E-4	4.3674402309133877E-4	0.0019159496172777004	1.8306437707109023E-4	1.4118011569030797E-4	2.739274174005728E-4	1.705532934731325E-4	1.1441041176736127E-4	5.143592740220453E-5	2.6781486863875934E-6	2.2532146004658541E-4	5.298810236255702E-5	2.8739701448957095E-4	4.27619682542454E-5	0.05554832788036529	3.2594204410752494E-4	5.282750756395355E-4	0.0020255784580101286	0.002184092183230304	8.952887681865902E-4	7.278591990244908E-4	7.061336890196973E-4	3.3362346031792973E-4	5.221766176332131E-4	0.0010552867755419216	1.0509910963585688E-4	9.964874186585021E-5	5.168652767762952E-4	2.972014306453371E-4	2.977263137911822E-4	5.285758710749814E-4	3.6252716065887116E-4	5.053058226745463E-5	9.63699286631288E-5	1.8412098449277706E-4	3.1123079605482396E-5	1.08609622958541E-4	2.8614360580255345E-5	1.3248013269994745E-5	0.0016007930333008492
5	5.746265144679418E-5	0.001130195683035041	0.003728560901475401	0.003963983188365292	0.861941315759232	0.009558680537291708	8.407819542696233E-4	0.006382514762113737	0.002285372076005037	8.015052617428316E-4	9.565036524121982E-4	3.1889208332358407E-4	3.552938788062559E-4	8.886404899725127E-5	8.237218330484517E-5	3.2870037099726304E-4	4.7997422533786326E-4	8.677091327232416E-4	1.3060379969074298E-4	1.2129804097371722E-4	4.5006540760514054E-4	3.651421131369519E-4	3.2468949875876787E-4	0.004498411538977817	9.485726937564189E-4	4.067120463903236E-5	4.5084199992907476E-4	5.720876659075562E-4	0.006413634554329417	0.0018699944591368714	0.0021271878996072698	0.004220590153962168	4.644723422246344E-4	5.655029505397929E-4	1.964962598439935E-4	2.7703293670019676E-4	3.486364009355184E-4	2.587586255933809E-4	1.5259344857809732E-4	1.3146406437828287E-4	0.002032473026540666	0.0015299478556130201	2.1573585779856644E-4	2.5179472861597334E-4	3.9536198849290444E-4	1.9112522965943678E-4	1.6086003132801736E-4	0.0011857057446828607	0.0013931330166976035	0.002233420867490097	0.0025552610496058325	0.005888768384415668	0.002480463558992424	7.74497548092312E-4	0.0013511529787452454	8.579188280271963E-4	0.0032425015381562705	6.29575861188091E-4	1.3798100170996056E-4	8.023297080924279E-4	2.3636339934519283E-4	2.2071879639078297E-4	3.87315510836461E-4	0.001374091262466767	1.5276751562940305E-4	9.572978568855188E-5	1.237891686838751E-4	6.553601522499679E-5	9.706718081726319E-5	2.2860067488021E-5	5.070093190692422E-4	1.5522154105220083E-4	5.549240892797606E-4	1.360494805391394E-4	0.026799864374196822	7.145580866079527E-4	0.0017441484242967625	0.0029557117378355567	0.004058973825970725	6.073583085248126E-4	3.6483204385079983E-4	3.477578017859675E-4	2.1113808615957005E-4	2.8977052701715714E-4	0.0022315617192476796	1.7786472400173567E-4	6.581869970948368E-5	4.523244620230815E-5	1.374955826542329E-4	4.2661602744784846E-4	0.002474947260225488	1.9017887029364295E-4	1.610053437522433E-5	2.2200057614778306E-5	2.7600043415394943E-5	0.0	7.241769171624885E-5	6.7048399627591106E-6	2.1048935254407765E-5	0.004453217005091697
6	0.0	6.915330166199483E-5	1.8743239389777596E-4	8.801066548667749E-4	0.011409565884423324	0.8577887018721214	0.008216044136996645	0.005018370607909466	0.0036439022061672244	0.00256433079064241	4.710477771392218E-4	1.8401175192867615E-4	1.5183343304777633E-4	7.842805801180464E-5	3.1609066935346976E-5	2.503597609191547E-4	0.004088658419941219	0.007504281983603929	3.6169845053257916E-4	3.280542281748764E-5	1.9533313657399255E-4	2.827085861920235E-4	0.0036512922247622292	2.114330733180194E-4	2.4274912750674638E-5	2.1915444515439362E-4	0.004908386039999699	0.0063043097784891726	1.458708529155501E-4	5.262134412810554E-4	3.563074706647173E-4	1.248183929178305E-4	0.004808979067673237	3.294019266790556E-4	7.106778203015164E-4	3.9115989523801715E-4	5.446567472553801E-4	1.346931534713636E-4	6.224107073500477E-5	0.001050079691667923	1.5667539088204163E-4	5.8760240965005985E-5	0.0017733763456167914	0.0025601297325699907	1.838386452629211E-4	1.4056853117438934E-4	1.049232531618527E-4	0.0013595326119766635	0.0021196872486909544	4.4136824145484926E-4	0.0012865468735722473	0.0022910844115797274	7.022584633719647E-4	6.256684394766963E-4	2.4090822731545123E-4	1.6154653446562227E-4	5.95833351529629E-4	1.4671890238279547E-4	2.4755395414831262E-5	8.811772159777238E-5	8.685635037399427E-5	1.5622390685075764E-4	1.4136119939354332E-4	6.782964226332806E-4	1.3687419309741945E-4	1.248894442038294E-4	6.0022380402205235E-5	0.0	0.0	0.0	6.345863421032018E-5	1.6158497728638578E-5	9.918705148567813E-5	2.0155536193435287E-5	0.0022647944866176677	8.949791046161223E-5	0.0011082480790687989	1.5262720188166168E-4	3.1075426755282365E-4	1.8003050716016562E-6	1.9842107530754173E-4	1.432150932008998E-4	1.3279931022987343E-4	0.002683419628565543	1.3694167949742953E-4	5.864389541708118E-4	1.8286335494598448E-4	4.250402679460432E-5	8.779008964214685E-5	0.001205031761706997	0.002502703230368542	3.618964934806662E-4	1.177621688777708E-6	1.1260676793966436E-5	2.6619357597376647E-5	0.0	3.6551099237036736E-5	0.0	4.45201737061731E-5	0.04312800824177135
7	9.57707409372402E-6	5.457285398745829E-4	0.0020779587668116333	0.004653171845175103	8.517553646595747E-4	0.004566109907373596	0.8806714832025833	0.0030956217415897486	0.001597861204487597	7.576490350351637E-4	2.3695598648521593E-4	7.868821329633578E-5	7.788166685298365E-5	1.7455475427429845E-5	0.0	2.6588506784066423E-4	0.0015624813124926358	0.0027965206340521114	0.0034454637423737815	2.8050223588937234E-4	2.1484449962145768E-4	9.52202395204232E-5	0.0011883393355636863	2.8800274855518955E-4	3.783421856719189E-4	0.0031856430291922052	0.0014473490096908062	0.0031514936239916275	2.4109966684058022E-4	0.0019463910514747995	0.0020184039605763543	3.465181318969559E-4	0.002702125705874483	1.345936535839279E-4	2.1526149326739135E-4	1.2484935203737019E-4	2.855472245106954E-4	9.660682508871006E-5	7.50638364412292E-5	4.6616460228073004E-4	3.174152744826201E-4	2.1599991802192077E-4	0.0013133547275621126	6.5288478820584E-4	8.701426464392136E-5	4.110226152589022E-5	4.2051738046646206E-5	9.58111159443089E-4	0.001080527000008963	0.0012744238268437564	0.0017833571232434042	0.003835426205815314	0.002260793140680766	0.001192874316369332	2.9571169219470036E-4	0.0012207886531561615	0.0032926261677292353	9.786539364623112E-4	1.4996545354201244E-4	0.0010222651772093653	2.2577292826637623E-4	3.194482022104429E-4	4.371761276901273E-4	9.29618901771186E-4	1.991541846397768E-4	1.1405865244830278E-4	7.525048076468675E-5	4.470817070136074E-5	8.993173175472995E-5	5.169430022786426E-5	7.567003487620087E-4	3.655640594133143E-5	6.85884497666389E-4	9.938314264747437E-5	0.030164231373699252	2.9556060264825676E-4	0.0010029731685999713	8.347373614768443E-4	4.235354706755698E-4	1.655468639774368E-5	1.1842934452620712E-4	6.801573914371166E-5	6.566348814077987E-5	9.762925398144921E-4	2.909242838985075E-4	2.834038065011639E-4	9.011576873639283E-5	0.001077337407748002	5.84630781519006E-5	3.702711758603771E-4	0.0010444291139960777	1.618938742515993E-4	9.895261239435174E-6	5.324504293813994E-6	2.3198022054018327E-5	0.0	1.1046968073927234E-4	3.429973813442548E-5	3.462342854936131E-5	0.010168060987968438
8	2.9129334480573415E-5	4.2983040837198984E-4	0.001774458907000056	0.005963841126399461	0.005677985006981982	0.003248043341045311	0.004009398187389676	0.688482720574533	0.004117095429313413	0.0055832472501073874	0.0076830305639047055	0.003579502532512004	0.0034424075790322295	8.324612965649276E-4	7.124054684399082E-4	0.0018969467491260544	3.7715241556976286E-4	2.731022506705969E-4	1.2675216012073202E-4	0.004866389337535307	0.005839386929408557	0.003725458470622008	1.1103334322951326E-4	3.4477457641808926E-4	1.2027236170879511E-4	6.223204478261336E-5	2.523602465809668E-5	0.0032555577403199478	9.6513032473857E-4	8.061846809552124E-5	7.407980591279245E-5	8.778571675390572E-4	4.6972697178047814E-4	0.007298796942995233	0.0019118903100450609	0.0018547250040756066	0.001291914812208362	0.00199593608322861	5.240259830051145E-4	5.8796788862574165E-5	3.8011905266878144E-4	1.7239146118502388E-4	5.839921978132685E-5	9.181295505169845E-5	0.0036177675774521963	0.0015254512034420143	0.0017135968987095837	3.843043559361783E-4	0.0012686981313122746	7.700303048734099E-5	3.8514450004960846E-4	9.37183132874465E-4	1.4933193351197033E-4	4.0587528702391704E-4	4.820181235228825E-4	2.8827913203039953E-4	0.0016225168069204075	3.9436773903817713E-4	8.926437432231277E-5	1.69728831318194E-4	2.304267913374642E-4	2.904575707347321E-4	4.1738220093298943E-4	4.77808466895088E-4	1.3806263594244133E-4	1.3806874384813517E-4	9.527285004202035E-5	2.1303750523195515E-5	3.708428942129122E-5	1.3887101551931794E-6	1.5496278536654783E-4	3.753445399545777E-5	3.058352362212002E-4	2.0264516619364283E-5	0.001131532206736278	1.1334053837098944E-4	0.0030436679782079013	5.076015978426316E-4	7.557986408661062E-4	0.003293290615031945	0.003396937194542994	0.0033010008119664903	0.001959839396867678	1.819362958743593E-4	3.8085281324008453E-4	8.360685008235635E-4	2.9013435320147924E-4	0.0011137202617501909	0.001225005454844124	0.002295875860539194	5.47210759890202E-4	0.001204438546283276	1.073588702778647E-4	1.6629894298675262E-4	3.256896139603167E-4	6.700773868174586E-5	9.761013473489676E-5	2.007245307783005E-5	8.717345333625675E-6	0.18305653625266016
9	0.0	1.3578931967254467E-5	0.001255712375839863	7.953815243590942E-4	0.002049981693113683	0.0024595886122587823	0.002349738484551282	0.004287159215941991	0.8006708589778379	0.01127798587796877	9.63119517809775E-4	2.893984130765205E-4	2.2191308749721167E-4	3.758579617661554E-5	9.958247157466553E-6	1.0331421620610057E-4	3.9058463658749824E-4	8.423097042982896E-4	3.6412131754163304E-4	7.61372617744645E-4	5.196193618499218E-4	1.9012643993894006E-4	1.6415296525003E-4	6.481323338945688E-5	0.0	1.0498368151553717E-4	2.6692675772915347E-4	0.003913250240280867	0.0010863375698233469	6.237771723782551E-6	0.0018358059357990143	0.0027581523862072427	0.006194822537894241	0.0067309905730834575	0.002852266088607675	2.2716569319727035E-4	2.553189399116437E-4	2.087845941418087E-4	2.9711958540869254E-5	1.1113297026496468E-4	6.615549492529224E-5	2.737857044622633E-6	5.3878633747036174E-5	1.6399746826054892E-4	2.9140084906772616E-4	7.19963588965386E-5	0.0016476346670772411	0.005725981346525155	0.004197807374384653	0.004331128599556286	7.669221711647626E-4	0.0026451088367771642	0.0031554248974622755	3.425742190417758E-4	1.91091906650599E-4	4.773675715133041E-5	3.744279514676575E-4	1.0371424077339748E-4	4.990693925619216E-5	5.122241835111591E-5	8.410942069984207E-5	1.9328601692071053E-4	6.497494674544747E-5	4.191875417673119E-4	7.622441170739401E-5	8.902120688385442E-5	6.865772624984567E-5	0.0	5.769005047564483E-6	0.0	5.4716236116892154E-5	2.5820741981972296E-5	5.760828221000313E-5	0.0	4.0034099834980393E-4	5.0359235183552656E-5	0.001192662081105878	3.8694334097096094E-4	2.424514294927756E-4	3.4026831269156813E-4	3.1762648834819196E-4	4.210332853856982E-4	1.299273056764789E-4	3.4491597283701E-4	2.0317652730633408E-4	3.539982761209278E-4	3.359833176198181E-4	2.3085808173897167E-4	6.894864621493401E-5	0.08447801495977283	0.0208692924125821	1.312650734187638E-4	0.0	0.0	0.0	0.0	5.5666678064587624E-5	0.0	0.0	0.007361780106122827
10	0.0	2.7510486740797765E-5	9.141364478841918E-5	9.392756183529387E-4	4.5303312278908704E-4	0.0010215285489871982	8.262510309547848E-4	0.003883547988986965	0.007106256731805593	0.741705938077584	0.009334980688197532	0.0040670972157754665	0.0029855780362587825	4.5980546789276287E-4	1.446573802841606E-4	0.0011923799711604397	0.003997567728529214	0.004533323270975586	5.923994053918375E-4	0.0027432346706188003	0.002555416297740689	0.0034250912099156234	0.0017372006699642054	3.9359478658097124E-4	0.0	8.894198419285685E-5	2.0272886235907583E-4	7.877964196308887E-5	1.714236449345472E-5	0.0	7.656383787142782E-6	4.467383580224852E-5	1.0620456772991357E-4	4.362073177090314E-4	1.0313076980945763E-4	0.004109088290085606	0.002439043270329606	0.0023512899362160412	3.4038323533010017E-4	0.0010746102436522047	5.901485471203155E-4	3.186091663649596E-5	1.929645163885844E-4	8.505671904399118E-4	0.00229553703032516	7.232361784127968E-4	6.84707111287428E-5	2.866436555853258E-5	1.4493092828362117E-5	4.264909866483089E-6	0.0015428828139678154	0.003393781204750758	0.0	5.0233652536849626E-5	1.3916160011220944E-4	4.6019265735670225E-5	2.8069428969016157E-4	8.863632096079189E-5	4.2098348825592315E-5	2.546950872078677E-5	4.976877089861468E-5	1.5890342378425317E-4	7.608682681599774E-5	5.929020124068833E-5	6.844371669363664E-5	7.158063799469423E-5	7.700103437110675E-5	0.0	0.0	0.0	3.7827765360363725E-5	1.7100592195438827E-5	2.798017291384013E-5	3.258122627579001E-7	2.4296295746355E-4	3.853042661275218E-5	5.745463005073434E-4	0.0010639480896329305	0.0011749716616881365	0.0029968142158231037	0.004124349201124025	0.003799744216676137	0.001603497981354156	0.0021931577094943078	0.001267527931127073	5.260529841881378E-4	1.2271174242153718E-4	5.354153164448557E-4	9.196630375779409E-4	0.14762759087025545	0.006209216813026469	0.006021940172486647	2.4190076534932875E-5	2.8690006989313613E-5	0.0	0.0	7.339529308260401E-5	0.0	0.0	0.0021606268232156013
